Territory,Year,Sex,Age,Quantity
IT,2018,TOTAL,TOTAL,4883451
ITC,2018,TOTAL,TOTAL,1656416
ITCD,2018,TOTAL,TOTAL,2835528
ITD,2018,TOTAL,TOTAL,1179112
ITE,2018,TOTAL,TOTAL,1222811
ITF,2018,TOTAL,TOTAL,592528
ITG,2018,TOTAL,TOTAL,232584
IT,2019,TOTAL,TOTAL,4996158
ITC,2019,TOTAL,TOTAL,1687560
ITCD,2019,TOTAL,TOTAL,2900417
ITD,2019,TOTAL,TOTAL,1212857
ITE,2019,TOTAL,TOTAL,1246779
ITF,2019,TOTAL,TOTAL,609173
ITG,2019,TOTAL,TOTAL,239789
IT,2020,TOTAL,TOTAL,5039637
ITC,2020,TOTAL,TOTAL,1708639
ITCD,2020,TOTAL,TOTAL,2936602
ITD,2020,TOTAL,TOTAL,1227963
ITE,2020,TOTAL,TOTAL,1250276
ITF,2020,TOTAL,TOTAL,610717
ITG,2020,TOTAL,TOTAL,242042
IT,2021,TOTAL,TOTAL,5171894
ITC,2021,TOTAL,TOTAL,1766425
ITCD,2021,TOTAL,TOTAL,3058724
ITD,2021,TOTAL,TOTAL,1292299
ITE,2021,TOTAL,TOTAL,1284499
ITF,2021,TOTAL,TOTAL,593154
ITG,2021,TOTAL,TOTAL,235517
IT,2022,TOTAL,TOTAL,5030716
ITC,2022,TOTAL,TOTAL,1720043
ITCD,2022,TOTAL,TOTAL,2973523
ITD,2022,TOTAL,TOTAL,1253480
ITE,2022,TOTAL,TOTAL,1241133
ITF,2022,TOTAL,TOTAL,583055
ITG,2022,TOTAL,TOTAL,233005
IT,2023,TOTAL,TOTAL,5050257
ITC,2023,TOTAL,TOTAL,1733946
ITCD,2023,TOTAL,TOTAL,2988537
ITD,2023,TOTAL,TOTAL,1254591
ITE,2023,TOTAL,TOTAL,1238153
ITF,2023,TOTAL,TOTAL,590189
ITG,2023,TOTAL,TOTAL,233378
