Territory,Citizenship,Year,ACT_ED_1,ACT_ED_3,total,ACT_ED_2
Centro (I),foreign,2018,70.98561766666667,77.12419,73.572533,75.70860233333333
Centro (I),foreign,2019,70.61560533333333,75.93707966666666,73.53952466666667,76.77695833333333
Centro (I),foreign,2020,66.39947000000001,68.671068,68.004095,70.11022733333334
Centro (I),foreign,2021,66.44278833333334,71.376057,69.614376,73.098578
Centro (I),foreign,2022,68.15029766666667,74.44401466666666,70.78958933333332,72.92544633333334
Centro (I),italian,2018,52.889158333333334,83.54688800000001,67.79427266666666,71.41853266666666
Centro (I),italian,2019,52.150329666666664,83.86903733333334,67.64294566666666,71.00120633333334
Centro (I),italian,2020,49.991570333333335,82.418189,66.14007733333334,69.85272266666666
Centro (I),italian,2021,50.522212,83.89939499999998,66.84804766666666,70.39984266666666
Centro (I),italian,2022,51.609045,83.92315933333333,67.99549,71.82883533333334
Mezzogiorno,foreign,2018,66.097724,71.54466500000001,66.715357,67.18787200000001
Mezzogiorno,foreign,2019,66.05539533333334,65.841146,65.24718566666667,63.178155333333336
Mezzogiorno,foreign,2020,61.716367,55.00540566666666,59.997374666666666,57.00363733333333
Mezzogiorno,foreign,2021,63.32046966666667,58.843585999999995,61.88884866666666,59.350414
Mezzogiorno,foreign,2022,63.44234733333334,60.23582133333334,62.571852,61.26420233333334
Mezzogiorno,italian,2018,41.577883,74.639067,53.233826,59.85770233333333
Mezzogiorno,italian,2019,40.64278933333333,75.09764666666666,53.163170666666666,60.145473
Mezzogiorno,italian,2020,38.80917866666667,74.37193733333334,51.099076333333336,57.09239766666667
Mezzogiorno,italian,2021,39.703685666666665,75.41276366666666,52.383435666666664,58.786052000000005
Mezzogiorno,italian,2022,40.33104133333333,75.94216300000001,53.174318,59.487310666666666
Nord,foreign,2018,68.28975866666667,76.686424,72.931198,78.39547666666667
Nord,foreign,2019,68.25751766666667,76.713407,72.89959033333334,78.43068433333333
Nord,foreign,2020,62.08090633333333,71.332343,67.63969300000001,74.937094
Nord,foreign,2021,64.76965966666667,74.72164566666667,70.15918566666666,76.26109266666667
Nord,foreign,2022,65.698128,76.511609,71.20747466666667,76.86481666666667
Nord,italian,2018,55.320979666666666,86.14179633333333,70.32975066666667,75.86370266666667
Nord,italian,2019,55.70874833333334,85.91028033333333,70.67699433333333,76.024817
Nord,italian,2020,53.970334,84.27163466666667,68.90694366666666,73.92169466666667
Nord,italian,2021,54.16331766666667,85.55360566666667,69.21362766666667,74.06197166666666
Nord,italian,2022,54.84958866666667,86.30740766666666,70.25373766666667,75.35558166666667
Nord-est,foreign,2018,67.47383433333333,76.487557,73.37692833333334,79.70873366666666
Nord-est,foreign,2019,67.704574,76.943319,73.71938033333333,79.93875133333334
Nord-est,foreign,2020,62.68816133333333,75.43706633333333,70.30411733333334,77.87507633333333
Nord-est,foreign,2021,63.913195333333334,77.03671733333333,71.090152,77.88256766666666
Nord-est,foreign,2022,65.19774266666667,78.27626066666666,71.938108,77.516503
Nord-est,italian,2018,55.55684566666667,85.72421800000001,70.800658,76.65679033333333
Nord-est,italian,2019,55.29582133333333,85.43621333333333,71.25262099999999,77.44756733333334
Nord-est,italian,2020,54.44561266666667,83.74043266666666,69.57389933333333,74.92259866666667
Nord-est,italian,2021,54.174218,85.298496,69.50569066666667,74.41002366666667
Nord-est,italian,2022,55.00348400000001,86.23249,70.747591,76.07489166666666
Nord-ovest,foreign,2018,68.80266133333333,76.82749033333334,72.61767233333333,77.31331733333333
Nord-ovest,foreign,2019,68.60170933333333,76.536952,72.306542,77.10920733333333
Nord-ovest,foreign,2020,61.71620633333333,68.043631,65.71101433333334,72.23965666666668
Nord-ovest,foreign,2021,65.327416,72.853186,69.47462033333333,74.89358566666667
Nord-ovest,foreign,2022,66.026004,75.13189633333333,70.65119133333333,76.266436
Nord-ovest,italian,2018,55.15669966666667,86.43932033333333,69.98546566666666,75.26049666666667
Nord-ovest,italian,2019,55.99860833333333,86.25669266666667,70.25683033333334,74.95501133333333
Nord-ovest,italian,2020,53.64003833333333,84.66457100000001,68.41970966666666,73.17179800000001
Nord-ovest,italian,2021,54.156985,85.74234866666666,69.00033933333333,73.80046933333334
Nord-ovest,italian,2022,54.74192133333333,86.36194033333334,69.894383,74.81709033333334
